LogID,LogEntryDate,LogEntryTime,LogEntrySeconds,TPS,AFRMAP,Speed,MAP_4BAR,Battery,Load1B,RPM,CoolantTemp,TimingAdv,AirTemp,WB02_AEM
3756,8/4/2019,55:33.7,258.25309,100,13.73430657,33.5540448,1.1985,13.85937,100.8,2781.25,199.4,29,107.6,15.15
3757,8/4/2019,55:33.7,258.30984,100,13.83529412,33.5540448,1.1985,13.49272,97.2,2812.5,199.4,30,107.6,15.05
3758,8/4/2019,55:33.8,258.37986,100,13.73430657,33.5540448,1.4354,13.63938,102.6,2812.5,199.4,29,107.6,14.75
3759,8/4/2019,55:33.9,258.46654,100,13.73430657,33.5540448,1.6723,13.85937,100.8,2843.75,199.4,29,107.6,14.35
3760,8/4/2019,55:34.0,258.56137,100,13.73430657,33.5540448,1.6723,13.63938,102.6,2875,199.4,29,105.8,14.05
3761,8/4/2019,55:34.1,258.63422,100,13.63478261,33.5540448,2.1461,13.71271,106.2,2906.25,199.4,30,105.8,13.85
3762,8/4/2019,55:34.1,258.72449,100,13.83529412,33.5540448,1.9092,13.9327,104.4,2906.25,199.4,30,105.8,13.7
3763,8/4/2019,55:34.2,258.78921,100,13.83529412,33.5540448,2.1461,13.71271,104.4,2968.75,199.4,29,105.8,13.6
3764,8/4/2019,55:34.3,258.87846,100,13.83529412,33.5540448,2.1461,13.63938,106.2,3000,199.4,29,105.8,13.6
3765,8/4/2019,55:34.4,258.97646,100,13.73430657,37.282272,2.6199,13.9327,109.8,3031.25,199.4,29,105.8,13.55
3766,8/4/2019,55:34.5,259.07636,100,13.73430657,37.282272,2.6199,14.07936,109.8,3062.5,199.4,28,105.8,13.5
3767,8/4/2019,55:34.6,259.17097,100,13.73430657,37.282272,2.6199,13.56605,111.6,3093.75,199.4,28,105.8,13.4
3768,8/4/2019,55:34.6,259.22817,100,13.73430657,37.282272,3.0937,13.9327,113.4,3125,199.4,28,105.8,13.35
3769,8/4/2019,55:34.8,259.33102,100,13.73430657,37.282272,3.5675,14.00603,117,3125,199.4,27,105.8,13.25
3770,8/4/2019,55:34.9,259.43049,100,13.83529412,37.282272,3.3306,13.56605,115.2,3156.25,199.4,27,105.8,13.15
3771,8/4/2019,55:34.9,259.51261,100,13.73430657,37.282272,3.8044,13.63938,120.6,3187.5,199.4,26,105.8,13
3772,8/4/2019,55:35.0,259.57065,100,13.73430657,37.282272,3.5675,13.9327,117,3218.75,199.4,27,105.8,13.05
3773,8/4/2019,55:35.1,259.65797,100,13.73430657,39.7677568,4.0413,14.15269,124.2,3250,199.4,27,105.8,12.95
3774,8/4/2019,55:35.2,259.74256,100,13.83529412,39.7677568,4.0413,13.63938,124.2,3312.5,199.4,26,105.8,12.8
3775,8/4/2019,55:35.2,259.79428,100,13.83529412,39.7677568,4.2782,13.78604,122.4,3312.5,199.4,27,105.8,12.75
3776,8/4/2019,55:35.3,259.83717,100,13.73430657,39.7677568,4.752,13.85937,127.8,3343.75,199.4,25,105.8,12.75
3777,8/4/2019,55:35.3,259.90512,100,13.83529412,39.7677568,4.5151,14.22602,124.2,3375,199.4,26,105.8,12.65
3778,8/4/2019,55:35.4,259.97252,100,13.73430657,39.7677568,4.9889,14.15269,127.8,3406.25,199.4,26,105.8,12.6
3779,8/4/2019,55:35.5,260.04247,100,13.73430657,39.7677568,5.2258,14.07936,131.4,3406.25,199.4,26,105.8,12.55
3780,8/4/2019,55:35.5,260.10726,100,13.73430657,39.7677568,5.2258,13.56605,133.2,3437.5,199.4,25,104,12.5
3781,8/4/2019,55:35.6,260.16434,100,13.73430657,39.7677568,5.4627,13.71271,135,3468.75,199.4,25,104,12.4
3782,8/4/2019,55:35.6,260.21935,100,13.73430657,39.7677568,5.6996,14.00603,136.8,3500,199.4,24,104,12.35
3783,8/4/2019,55:35.7,260.29729,100,13.73430657,39.7677568,5.6996,14.22602,138.6,3531.25,199.4,24,104,12.3
3784,8/4/2019,55:35.8,260.37233,100,13.63478261,43.495984,5.9365,14.22602,136.8,3562.5,199.4,23,104,12.25
3785,8/4/2019,55:35.9,260.45419,100,13.63478261,43.495984,6.1734,14.22602,144,3593.75,199.4,23,104,12.15
3786,8/4/2019,55:36.0,260.56811,100,13.53669065,43.495984,6.6472,14.22602,145.8,3625,199.4,22,104,12.1
3787,8/4/2019,55:36.1,260.6326,100,13.34468085,43.495984,6.8841,14.15269,144,3656.25,199.4,22,104,12.1
3788,8/4/2019,55:36.1,260.69746,100,13.44,43.495984,7.121,14.29935,151.2,3718.75,199.4,20,104,12.1
3789,8/4/2019,55:36.2,260.76379,100,13.25070423,43.495984,7.5948,14.22602,147.6,3718.75,199.4,20,104,12.15
3790,8/4/2019,55:36.3,260.85854,100,13.25070423,43.495984,7.8317,14.29935,151.2,3781.25,199.4,17,104,12.1
3791,8/4/2019,55:36.4,260.97893,100,13.06666667,43.495984,8.3055,14.22602,162,3812.5,199.4,16,104,12.05
3792,8/4/2019,55:36.5,261.04509,100,13.06666667,47.2242112,9.0162,14.29935,165.6,3875,199.4,14,104,12.05
3793,8/4/2019,55:36.5,261.12501,100,12.97655172,47.2242112,9.49,14.29935,171,3906.25,199.4,14,104,12.05
3794,8/4/2019,55:36.6,261.17832,100,12.88767123,47.2242112,9.9638,14.29935,174.6,3937.5,199.4,12,104,12.05
3795,8/4/2019,55:36.7,261.26714,100,12.88767123,47.2242112,10.6745,14.15269,180,3968.75,199.4,10,104,12
3796,8/4/2019,55:36.8,261.36521,100,12.71351351,47.2242112,11.3852,14.22602,187.2,4062.5,199.4,9,102.2,12
3797,8/4/2019,55:36.8,261.42021,100,12.62818792,47.2242112,12.3328,14.29935,194.4,4062.5,199.4,9,102.2,12
3798,8/4/2019,55:36.9,261.50724,100,12.62818792,47.2242112,13.0435,14.15269,199.8,4125,199.4,10,102.2,11.95
3799,8/4/2019,55:37.0,261.59023,100,12.544,47.2242112,14.228,14.37268,208.8,4187.5,199.4,10,102.2,11.95
3800,8/4/2019,55:37.1,261.65504,100,12.46092715,47.2242112,15.4125,14.22602,221.4,4218.75,199.4,9,102.2,11.9
3801,8/4/2019,55:37.2,261.75163,100,12.37894737,52.1951808,16.1232,14.22602,225,4312.5,199.4,7,102.2,11.9
3802,8/4/2019,55:37.3,261.847,100,12.13935484,52.1951808,17.3077,14.29935,239.4,4375,199.4,6,102.2,11.85
3803,8/4/2019,55:37.4,261.93192,100,11.90886076,52.1951808,18.2553,14.29935,243,4437.5,199.4,5,102.2,11.8
3804,8/4/2019,55:37.4,262.02649,100,11.83396226,52.1951808,18.7291,14.15269,246.6,4531.25,199.4,5,102.2,11.7
3805,8/4/2019,55:37.5,262.10139,100,11.68695652,52.1951808,19.2029,14.29935,252,4562.5,199.4,3,102.2,11.55
3806,8/4/2019,55:37.6,262.17399,100,11.61481481,52.1951808,19.9136,14.22602,259.2,4593.75,199.4,2,102.2,11.4
3807,8/4/2019,55:37.6,262.22649,100,11.54355828,52.1951808,20.1505,14.22602,255.6,4656.25,199.4,2,100.4,11.3
3808,8/4/2019,55:37.7,262.31135,100,11.47317073,52.1951808,20.1505,14.22602,255.6,4750,199.4,2,100.4,11.15
3809,8/4/2019,55:37.8,262.38137,100,11.40363636,52.1951808,20.6243,14.22602,261,4781.25,199.4,1,100.4,11
3810,8/4/2019,55:37.9,262.48146,100,11.33493976,58.4088928,20.8612,14.37268,262.8,4875,199.4,2,100.4,10.9
3811,8/4/2019,55:38.0,262.59776,100,11.26706587,58.4088928,21.0981,14.29935,268.2,4968.75,199.4,2,100.4,10.85
3812,8/4/2019,55:38.1,262.6533,100,11.2,58.4088928,21.5719,14.29935,271.8,4968.75,199.4,3,100.4,10.85
3813,8/4/2019,55:38.2,262.74059,100,11.2,58.4088928,21.5719,14.29935,266.4,5062.5,199.4,2,100.4,10.85
3814,8/4/2019,55:38.2,262.79306,100,11.2,58.4088928,21.8088,14.37268,266.4,5125,199.4,2,100.4,10.9
3815,8/4/2019,55:38.3,262.84806,100,11.2,58.4088928,22.0457,14.37268,277.2,5156.25,199.4,3,100.4,10.9
3816,8/4/2019,55:38.3,262.92248,100,11.2,58.4088928,22.0457,14.37268,280.8,5218.75,199.4,3,98.6,10.95
3817,8/4/2019,55:38.4,262.97805,100,11.2,58.4088928,22.2826,14.37268,277.2,5281.25,199.4,2,98.6,11
3818,8/4/2019,55:38.5,263.06437,100,11.2,58.4088928,22.5195,14.44601,275.4,5343.75,199.4,2,98.6,11.05
3819,8/4/2019,55:38.6,263.13969,100,11.2,65.8653472,22.5195,14.44601,280.8,5437.5,199.4,2,98.6,11.05
3820,8/4/2019,55:38.6,263.2077,100,11.2,65.8653472,22.7564,14.44601,277.2,5437.5,199.4,3,98.6,11.05
3821,8/4/2019,55:38.7,263.27758,100,11.2,65.8653472,22.7564,14.44601,280.8,5562.5,199.4,2,98.6,11.1
3822,8/4/2019,55:38.8,263.35006,100,11.2,65.8653472,22.9933,14.44601,280.8,5562.5,199.4,2,98.6,11.15
3823,8/4/2019,55:38.9,263.43262,100,11.2,65.8653472,22.9933,14.51934,280.8,5656.25,199.4,3,98.6,11.15
3824,8/4/2019,55:38.9,263.50255,100,11.2,65.8653472,23.2302,14.44601,280.8,5718.75,199.4,3,98.6,11.15
3825,8/4/2019,55:39.0,263.57945,100,11.2,65.8653472,23.704,13.34606,286.2,5812.5,199.4,3,98.6,11.2
3826,8/4/2019,55:39.1,263.66735,100,11.2,65.8653472,23.4671,13.34606,284.4,5875,199.4,4,98.6,11.25
3827,8/4/2019,55:39.1,263.71896,100,11.2,65.8653472,23.9409,13.56605,291.6,5937.5,199.4,3,96.8,11.25
3828,8/4/2019,55:39.2,263.80336,100,11.2,65.8653472,23.9409,13.9327,288,5968.75,199.4,3,96.8,11.25
3829,8/4/2019,55:39.3,263.87413,100,11.2,73.3218016,23.704,14.15269,289.8,6000,199.4,4,96.8,11.25
3830,8/4/2019,55:39.4,263.96892,100,11.2,73.3218016,24.1778,14.07936,291.6,6156.25,199.4,4,96.8,11.25
